                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.46341,                0.32863,                 1.0008,                0.81204,                0.98994,                      1,                  0.995,                0.91134,                0.98994,                      1,                  0.995,                  0.995,                0.48699,                0.32528,                 1.4407,                0.90909,             0.00099805,             0.00099805,             0.00099805
                     65,                 0.6739,                0.33998,                0.83231,                0.92662,                0.98994,                      1,                  0.995,                0.91134,                0.98994,                      1,                  0.995,                  0.995,                0.48699,                0.32528,                 1.4407,                0.90909,              0.0010097,              0.0010097,              0.0010097
                     66,                0.60632,                0.47159,                0.96414,                0.96518,                0.98912,                      1,                  0.995,                 0.8955,                0.98912,                      1,                  0.995,                  0.995,                0.46264,                0.31504,                 1.3732,                0.86885,              0.0010211,              0.0010211,              0.0010211
                     67,                0.68397,                0.95556,                0.95081,                0.94575,                0.98912,                      1,                  0.995,                 0.8955,                0.98912,                      1,                  0.995,                  0.995,                0.46264,                0.31504,                 1.3732,                0.86885,              0.0010325,              0.0010325,              0.0010325
                     68,                0.70456,                0.36964,                0.95804,                 1.0413,                0.98912,                      1,                  0.995,                 0.8955,                0.98912,                      1,                  0.995,                  0.995,                0.46264,                0.31504,                 1.3732,                0.86885,              0.0010437,              0.0010437,              0.0010437
                     69,                0.65055,                0.39506,                0.91732,                0.96799,                 0.9835,                      1,                  0.995,                  0.995,                 0.9835,                      1,                  0.995,                0.97103,                0.46392,                0.43023,                 1.3821,                0.87662,              0.0010548,              0.0010548,              0.0010548
                     70,                0.53147,                0.50057,                0.90985,                0.97116,                 0.9835,                      1,                  0.995,                  0.995,                 0.9835,                      1,                  0.995,                0.97103,                0.46392,                0.43023,                 1.3821,                0.87662,              0.0010658,              0.0010658,              0.0010658
                     71,                0.69811,                0.57499,                 1.0835,                0.87207,                 0.9835,                      1,                  0.995,                  0.995,                 0.9835,                      1,                  0.995,                0.97103,                0.46392,                0.43023,                 1.3821,                0.87662,              0.0010766,              0.0010766,              0.0010766
                     72,                0.53499,                 0.3336,                0.85759,                0.92026,                0.98754,                      1,                  0.995,                 0.8955,                0.98754,                      1,                  0.995,                0.95504,                0.53945,                0.47435,                 1.1658,                0.92661,              0.0010873,              0.0010873,              0.0010873
                     73,                0.55202,                0.33868,                 1.0168,                0.91634,                0.98754,                      1,                  0.995,                 0.8955,                0.98754,                      1,                  0.995,                0.95504,                0.53945,                0.47435,                 1.1658,                0.92661,              0.0010979,              0.0010979,              0.0010979
                     74,                0.62368,                0.35635,                0.79899,                0.88602,                0.98754,                      1,                  0.995,                 0.8955,                0.98754,                      1,                  0.995,                0.95504,                0.53945,                0.47435,                 1.1658,                0.92661,              0.0011083,              0.0011083,              0.0011083
                     75,                0.61423,                0.49544,                0.91612,                0.98873,                0.98896,                      1,                  0.995,                 0.8955,                0.98896,                      1,                  0.995,                0.95504,                0.57148,                 0.5762,                 1.0868,                0.93388,              0.0011186,              0.0011186,              0.0011186
                     76,                0.73667,                0.34429,                 1.0628,                 1.1134,                0.98896,                      1,                  0.995,                 0.8955,                0.98896,                      1,                  0.995,                0.95504,                0.57148,                 0.5762,                 1.0868,                0.93388,              0.0011287,              0.0011287,              0.0011287
